TraningTrack1	 length = 405.0331
AddReward	2020/9/18 17:05:47	9.989468
AddReward	2020/9/18 17:05:47	9.988078
AddReward	2020/9/18 17:05:47	9.991061
AddReward	2020/9/18 17:05:47	9.988069
AddReward	2020/9/18 17:05:47	9.991102
AddReward	2020/9/18 17:05:47	9.987967
AddReward	2020/9/18 17:05:47	9.99112
AddReward	2020/9/18 17:05:47	9.988084
AddReward	2020/9/18 17:05:47	9.991104
AddReward	2020/9/18 17:05:47	9.988064
AddReward	2020/9/18 17:05:47	9.989325
AddReward	2020/9/18 17:05:47	9.987781
AddReward	2020/9/18 17:05:47	9.990366
AddReward	2020/9/18 17:05:48	9.987719
AddReward	2020/9/18 17:05:48	9.990874
AddReward	2020/9/18 17:05:48	9.981096
AddReward	2020/9/18 17:05:48	9.991036
AddReward	2020/9/18 17:05:48	9.986944
AddReward	2020/9/18 17:05:48	9.990352
AddReward	2020/9/18 17:05:48	9.98798
AddReward	2020/9/18 17:05:48	9.991085
AddReward	2020/9/18 17:05:48	9.988076
AddReward	2020/9/18 17:05:48	9.991117
AddReward	2020/9/18 17:05:48	9.988088
AddReward	2020/9/18 17:05:48	9.99112
AddReward	2020/9/18 17:05:48	9.981946
AddReward	2020/9/18 17:05:48	9.990362
AddReward	2020/9/18 17:05:48	9.984852
AddReward	2020/9/18 17:05:48	9.988253
AddReward	2020/9/18 17:05:48	9.986792
AddReward	2020/9/18 17:05:48	9.977424
AddReward	2020/9/18 17:05:48	9.987539
AddReward	2020/9/18 17:05:48	9.986577
AddReward	2020/9/18 17:05:48	9.983171
AddReward	2020/9/18 17:05:48	9.988063
AddReward	2020/9/18 17:05:48	9.985504
AddReward	2020/9/18 17:05:48	9.990615
AddReward	2020/9/18 17:05:48	9.987992
AddReward	2020/9/18 17:05:48	9.991096
AddReward	2020/9/18 17:05:48	9.988087
AddReward	2020/9/18 17:05:48	9.991007
AddReward	2020/9/18 17:05:48	9.988089
AddReward	2020/9/18 17:05:48	9.991122
AddReward	2020/9/18 17:05:48	9.988093
AddReward	2020/9/18 17:05:48	9.991116
AddReward	2020/9/18 17:05:48	9.899394
AddReward	2020/9/18 17:05:48	9.811002
AddReward	2020/9/18 17:05:48	9.719626
AddReward	2020/9/18 17:05:48	9.631472
AddReward	2020/9/18 17:05:48	9.540252
AddReward	2020/9/18 17:05:48	9.579729
AddReward	2020/9/18 17:05:48	9.61571
AddReward	2020/9/18 17:05:48	9.654031
AddReward	2020/9/18 17:05:48	9.688278
AddReward	2020/9/18 17:05:48	9.72489
AddReward	2020/9/18 17:05:48	9.771018
AddReward	2020/9/18 17:05:48	9.818981
AddReward	2020/9/18 17:05:48	9.862402
AddReward	2020/9/18 17:05:48	9.907615
AddReward	2020/9/18 17:05:48	9.948363
AddReward	2020/9/18 17:05:48	9.969506
AddReward	2020/9/18 17:05:48	9.987264
AddReward	2020/9/18 17:05:49	9.991058
AddReward	2020/9/18 17:05:49	9.98798
AddReward	2020/9/18 17:05:49	9.991001
AddReward	2020/9/18 17:05:49	9.987544
AddReward	2020/9/18 17:05:49	9.990883
AddReward	2020/9/18 17:05:49	9.987924
