Circuit = TraningTrack1	length = 405.0331
AddReward	2020/9/18 17:42:46	9.991117
AddReward	2020/9/18 17:42:46	9.985916
AddReward	2020/9/18 17:42:46	9.990983
AddReward	2020/9/18 17:42:46	9.987664
AddReward	2020/9/18 17:42:46	9.990947
AddReward	2020/9/18 17:42:46	9.987992
AddReward	2020/9/18 17:42:46	9.989285
AddReward	2020/9/18 17:42:46	9.988072
AddReward	2020/9/18 17:42:46	9.991117
AddReward	2020/9/18 17:42:46	9.988085
AddReward	2020/9/18 17:42:46	9.991118
AddReward	2020/9/18 17:42:46	9.98613
AddReward	2020/9/18 17:42:46	9.99094
AddReward	2020/9/18 17:42:46	9.987598
AddReward	2020/9/18 17:42:46	9.990896
AddReward	2020/9/18 17:42:46	9.987951
AddReward	2020/9/18 17:42:46	9.990937
AddReward	2020/9/18 17:42:46	9.988023
AddReward	2020/9/18 17:42:46	9.991
AddReward	2020/9/18 17:42:46	9.987932
AddReward	2020/9/18 17:42:46	9.990959
AddReward	2020/9/18 17:42:46	9.987582
AddReward	2020/9/18 17:42:46	9.990867
AddReward	2020/9/18 17:42:46	9.98789
AddReward	2020/9/18 17:42:46	9.990972
AddReward	2020/9/18 17:42:46	9.987934
AddReward	2020/9/18 17:42:46	9.990876
AddReward	2020/9/18 17:42:46	9.987907
AddReward	2020/9/18 17:42:46	9.990983
AddReward	2020/9/18 17:42:46	9.987948
AddReward	2020/9/18 17:42:46	9.990998
AddReward	2020/9/18 17:42:46	9.984862
AddReward	2020/9/18 17:42:46	9.991132
AddReward	2020/9/18 17:42:46	9.988059
AddReward	2020/9/18 17:42:46	9.991132
AddReward	2020/9/18 17:42:46	9.988086
AddReward	2020/9/18 17:42:46	9.988425
AddReward	2020/9/18 17:42:46	9.987671
AddReward	2020/9/18 17:42:46	9.98986
AddReward	2020/9/18 17:42:46	9.987413
AddReward	2020/9/18 17:42:46	9.990779
AddReward	2020/9/18 17:42:46	9.986938
AddReward	2020/9/18 17:42:47	9.986167
AddReward	2020/9/18 17:42:47	9.982348
AddReward	2020/9/18 17:42:47	9.981604
AddReward	2020/9/18 17:42:47	9.977807
AddReward	2020/9/18 17:42:47	9.984095
AddReward	2020/9/18 17:42:47	9.987964
AddReward	2020/9/18 17:42:47	9.991046
AddReward	2020/9/18 17:42:47	9.988005
AddReward	2020/9/18 17:42:47	9.991058
AddReward	2020/9/18 17:42:47	9.986609
AddReward	2020/9/18 17:42:47	9.991075
AddReward	2020/9/18 17:42:47	9.988064
AddReward	2020/9/18 17:42:47	9.991107
AddReward	2020/9/18 17:42:47	9.988076
AddReward	2020/9/18 17:42:47	9.991014
AddReward	2020/9/18 17:42:47	9.988092
AddReward	2020/9/18 17:42:47	9.991115
AddReward	2020/9/18 17:42:47	9.988071
AddReward	2020/9/18 17:42:47	9.991095
AddReward	2020/9/18 17:42:47	9.988022
AddReward	2020/9/18 17:42:47	9.991127
AddReward	2020/9/18 17:42:47	9.98807
AddReward	2020/9/18 17:42:47	9.991077
AddReward	2020/9/18 17:42:47	9.988033
AddReward	2020/9/18 17:42:47	9.989441
AddReward	2020/9/18 17:42:47	9.988055
AddReward	2020/9/18 17:42:47	9.991108
AddReward	2020/9/18 17:42:47	9.988072
AddReward	2020/9/18 17:42:47	9.991113
AddReward	2020/9/18 17:42:47	9.987613
AddReward	2020/9/18 17:42:47	9.990741
AddReward	2020/9/18 17:42:47	9.988072
AddReward	2020/9/18 17:42:47	9.991117
AddReward	2020/9/18 17:42:47	9.988087
AddReward	2020/9/18 17:42:47	9.989935
AddReward	2020/9/18 17:42:47	9.988068
AddReward	2020/9/18 17:42:47	9.991092
AddReward	2020/9/18 17:42:47	9.988061
